-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
30,"Data Scientist, Product Analytics (Early Career) - USDS",$114K - $178K (Employer est.),"Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences. Experience with SQL, Python, or R.…
Skills: R, SQL, Analysis skills, Python",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
31,Data Scientist,$94K - $130K (Glassdoor est.),"The candidate will develop data science models and AI/ML tools enabling proactive risk monitoring, pattern detection and predictive analytics.…
Skills: Machine learning, Natural language processing, Clinical trials, Regression analysis, Data science",4,"Daiichi Sankyo, Inc.","Basking Ridge, NJ",10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
32,Data Scientist,$100K - $130K (Employer est.),"Excellent Communication: Excellent communication skills with the ability to communicate complex ideas effectively to both technical and non-technical……
Skills: Statistics, R, SQL, C, Communication skills",3.7,Flip Fit,"El Segundo, CA",201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
33,DATA SCIENTIST,$86K - $124K (Glassdoor est.),"Certification Requirements - Epic Cognitive Computing, Alteryx & Python certification using internal training tools expected within 1 year of hire date as well……
Skills: Statistics, Microsoft Excel, Data mining, Spark, R",3.6,TriHealth,"Cincinnati, OH",10000+ Employees,1995,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD)
34,Data Scientist,$85K - $125K (Glassdoor est.),"Explains analysis to technical and non-technical audiences of both internal and external customers, including senior leadership and physicians.…
Skills: Computer science, Microsoft Excel, Data mining, R, Data analysis skills",4.1,Blue Cross of Idaho,"Meridian, ID",1001 to 5000 Employees,1945,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD)
35,"Data Scientist, 1+ Years of Experience",$97K - $145K (Employer est.),"1+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……
Skills: Data modeling, Data mining, Social media management, Big data, R",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
36,Data Scientist (contract),$71.38 Per Hour (Employer est.),"This role will provide support for the manufacturing science and technology team supporting a new clinical/commercial manufacturing site.…
Skills: Tableau, Data management, Data entry, Manufacturing, FDA regulations",4.2,JnJ,"Raritan, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
37,Sr Data Scientist,-1,"Staying ahead of the latest advancements in data science techniques, tools, and technologies and applying them to solve complex problems optimally.…
Skills: Jira, TensorFlow, CI/CD, Computer science, Management",-1,Walt Disney World Resort,"Lake Buena Vista, FL",10000+ Employees,1901,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD)
38,Data Scientist,$77K - $128K (Glassdoor est.),"Problem-Solving, using data to help the company make decisions, finding patterns and solutions to improve our capabilities, and develop investment strategies.…
Skills: Power BI, Data mining, Big data, R, Tableau",4,Michelin,"Woodburn, IN",10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
39,Associate Data Scientist,$39.47 - $66.80 Per Hour (Employer est.),"Bachelor's degree in a technical discipline such as Statistics, Mathematics, Bioinformatics, Computer Science, Engineering, Economics, or related field required……
Skills: Statistics, Management, R, SQL, Machine learning",3.3,UPMC,"Pittsburgh, PA",10000+ Employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
40,Behavioral Data Scientist,$96K - $169K (Employer est.),"Confer with system users, systems engineers, and mission partners to design, develop and deliver data analytic solutions. Minimum Clearance Required to Start:…
Skills: Data mining, Machine learning, Natural language processing, AI, SPSS",4,Parsons,"Springfield, VA",10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
41,Data Scientist,$78K - $112K (Glassdoor est.),"Execute strategy and support applications of statistical analysis, Machine Learning, Computer vision, and AI tools to improve product development, manufacturing……
Skills: Jira, TensorFlow, CI/CD, Computer vision, DevOps",3.8,Magna International Inc.,"Troy, MI",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
42,Senior Data Scientist,$105K - $125K (Employer est.),"Familiarity with data processing and management support tools, including MS Office, advanced Excel analysis, and business intelligence tools (e.g., Power BI,……
Skills: Computer science, Power BI, Microsoft Excel, Oracle, Management",3.6,Metropolitan Transportation Authority,"New York, NY",Unknown,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
43,DATA SCIENCE: SAP Next Talent - Rotational Program (2024 Grads),$101K - $172K (Employer est.),"Hands-on experience with data structures, complexity analysis, and foundation models or LLMs. Knowledge in Python, R, SQL and data science methodologies.…
Skills: TensorFlow, Management, Data structures, R, ERP systems",4.2,SAP,"Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
44,Data Scientist,$84K (Employer est.),"Work as part of a small team and alone on help desk taskings and ticketing data flows, report generation, and dashboard visualization of key performance……
Skills: Microsoft Access, Visual Basic, SAS, Microsoft SQL Server, Technical support",3.6,Chenega Corporation,Virginia,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
45,Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……
Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
46,Data Scientist,$63K - $98K (Employer est.),"A. Degree: Mathematics, statistics, computer science, data science or field directly related to the position. Designs, develops and implements computational and……
Skills: R, Statistical analysis, Machine learning, Regression analysis, Data science",3.7,US Office of Personnel Management,Remote,1001 to 5000 Employees,1979,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
47,Data Scientist,$104K - $167K (Employer est.),"Ph.D. with 2 years of experience, or M.S. with 5+ years, B.S. with 7+ years of relevant pharma sales & marketing experience, with degree in Computer Sciences,……
Skills: Data mining, Vendor management, Sales, R, Data analysis skills",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
48,Data Scientist,$93K - $138K (Glassdoor est.),"Possess a bachelor’s or master’s degree in a quantitative field such as Computer Science, Economics, or Physics.…
Skills: Spark, R, Apache Hive, E-commerce, Customer segmentation",3.5,Global Partners,"Waltham, MA",1001 to 5000 Employees,1933,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
49,"Data Scientist IV - Databricks, SQL, Python, ETL",$150K - $194K (Employer est.),"Collaborates with internal and external stakeholders across domains to develop and deliver statistical driven outcomes by delivering insights and values from……
Skills: Microsoft Excel, Data mining, Data analysis skills, SQL, Statistical analysis",3.9,Kaiser Permanente,"Pasadena, CA",10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
50,Data Scientist,$84K - $143K (Employer est.),"Experience with CRM systems like SAP CRM, ServiceNow, and ServiceMax, as well as technical platforms like ABAP, BTP, SAP PI/PO, and BI tools is required.…
Skills: CRM software, Management, SAP CRM, Enterprise software, R",4.1,KLA,"Ann Arbor, MI",5001 to 10000 Employees,1976,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD)
51,NGSE Data Scientist,$113K - $153K (Glassdoor est.),"This role interfaces across the organization to answer challenging analytical questions and highlight insights to customers such as revenue generation ideas,……
Skills: Statistics, Computer science, Azure, Data mining, Data structures",4,Zoetis,"Parsippany, NJ",10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
52,Data Scientist I,$82K - $106K (Glassdoor est.),"Cash Forecasting: (1) Quickly develop cash consumer demand and supply operations business expertise; (2) Identify, collect, and process the requisite data; (3)……
Skills: ArcGIS, Microsoft Excel, Azure, Data mining, Relational databases",3.5,NCR Atleos,"Frisco, TX",10000+ Employees,1884,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
53,Data Scientist,-1,"Communication: Excellent written and verbal communication skills, with the ability to explain technical concepts to non-technical stakeholders.…
Skills: TensorFlow, Data analysis skills, SQL, Analysis skills, Machine learning",3.5,Westfield Insurance,United States,1001 to 5000 Employees,1848,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
54,Data Scientist,$69K - $111K (Glassdoor est.),"Three (3) years post-university experience in advanced analytics in the field of data science, applying scientific data analytics methods preferably to……
Skills: TensorFlow, Computer science, Oracle, Data mining, SAP HANA",3.9,"SWJ TECHNOLOGY, LLC","Greer, SC",Unknown,--,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable
55,Sr Data Scientist,$120K - $156K (Glassdoor est.),"Staying ahead of the latest advancements in data science techniques, tools, and technologies and applying them to solve complex problems optimally.…
Skills: Jira, TensorFlow, CI/CD, Computer science, Management",3.8,Disney,"Lake Buena Vista, FL",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
56,Data Scientist,$83K - $116K (Glassdoor est.),"Collaborates with cross-functional teams of product and process experts, clinical and non-clinical leaders, and C-Suite leaders to develop data science……
Skills: R, SQL, Statistical analysis, Analysis skills, Database management",3.4,Regional One Health,"Memphis, TN",1001 to 5000 Employees,1892,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
57,Data Scientist II,-1,"He/she collaborates with business partners to define the technical problem statement, develop efficient and accurate analytical models and incorporate them into……
Skills: Power BI, Data mining, Customer service, Big data, Software deployment",3.4,American Equity,"West Des Moines, IA",501 to 1000 Employees,1995,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD)
58,Data Scientist (Lending Analytics),$108K - $148K (Glassdoor est.),"Design, develop, and evaluate basic/routine predictive models and algorithms with some complexity. Work under close supervision with some latitude for problem……
Skills: Statistics, Data modeling, SAS, R, Data analysis skills",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable
59,Data Scientist,$96K - $144K (Employer est.),"Tracks and reports own progress, dependencies, and challenges diligently. Designs small-scale solutions and collaborates effectively with other technical……
Skills: CI/CD, Power BI, Microsoft Excel, Data mining, Business intelligence",3.9,Western Governors University,Remote,5001 to 10000 Employees,1997,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
60,Data Scientist,$110K - $140K (Employer est.),"Directly support the Product team through steering data science initiatives and driving decisions to empower market leading solutions. UI/UX experience a plus.…
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,United States,10000+ Employees,2017,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD)
61,Sr. Data Scientist/Analytics,$97K - $142K (Glassdoor est.),"The Sr. Data Scientist/Analytics is responsible for formulating and conducting appropriate and applicable analysis; and is responsible for identifying and……
Skills: Data mining, Big data, Analysis skills, Machine learning, Predictive analytics",4.1,Drury Hotels,"Saint Louis, MO",5001 to 10000 Employees,1973,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,$500 million to $1 billion (USD)
62,Actuarial Data Scientist,$90K - $130K (Employer est.),"Present analysis and/or provide technical and non-technical information and explanation to peers, senior staff, and other departments as needed, as well as……
Skills: Microsoft Powerpoint, Workers' compensation law, Power BI, Microsoft Excel, R",3.4,Employers,Remote,501 to 1000 Employees,1913,Company - Public,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
63,Data Scientist,$108K - $192K (Employer est.),"Knowledge of relevant tools in this field such as Hadoop, Hive, Splunk, Spark, Tableau, Excel (Charting and Pivot-Tables), and Power BI.…
Skills: Statistics, Adobe Photoshop, Power BI, Microsoft Excel, Adobe Lightroom",4.2,Adobe,"Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
64,Data Scientist,$44.00 - $66.00 Per Hour (Employer est.),"Technical Skills: Proficiency in programming languages such as Python or R; experience with data manipulation and analysis tools (SQL, Pandas, NumPy); expertise……
Skills: TensorFlow, Computer science, Power BI, Azure, Big data",3.8,Arrowhead Central Credit Union,"Rancho Cucamonga, CA",501 to 1000 Employees,1949,Nonprofit Organization,Investment & Asset Management,Financial Services,$25 to $100 million (USD)
65,Data Scientist,$89K - $129K (Glassdoor est.),"Proven ability to succeed in collaborative environments with cross-functional stakeholders and also in independent work environments.…
Skills: Power BI, Oracle, Business intelligence, Data analysis skills, Tableau",4.1,Southern Company,"Atlanta, GA",10000+ Employees,1945,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
66,Data Scientist 2,$97K - $131K (Employer est.),"Candidates must live in the immediate area or relocate at their own expense. Connect systems and large data sets across business units and functions to develop……
Skills: SQL, Statistical analysis, Analysis skills, Data analytics",3.8,BOEING,"Dallas, TX",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
67,Cybersecurity Data Scientist,$84K - $119K (Employer est.),"As a Cybersecurity Data Scientist, you will develop, maintain, and implement comprehensive information security monitoring programs in large and complex……
Skills: Oracle, SAS, NoSQL, Information security, SQL",4.2,Empower,Colorado,10000+ Employees,1907,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
68,Statistician Intermediate,$58K - $91K (Glassdoor est.),"? Contributing intellectually to the design, programming, analysis, reporting, and dissemination of research projects, potentially as a co-author of abstracts……
Skills: ArcGIS, Microsoft Excel, Management, Biostatistics, SAS",4.3,University of Michigan,"Ann Arbor, MI",10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
69,Data Scientist,$97K - $220K (Employer est.),"4+ years of experience in ML, data science, computer science, or computational engineering. 2+ years of experience researching and developing operational……
Skills: Statistics, Kubernetes, Software deployment, R, Java",4.2,Booz Allen,"McLean, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
70,Order To Cash Data Scientist,$85K (Employer est.),"Develop predictive models to forecast cash collections, customer payment behaviors, and bad debt risks. Experience with data visualization tools like Alteryx……
Skills: TensorFlow, Statistical software, Power BI, R, Alteryx",3.2,Hertz,"Oklahoma City, OK",10000+ Employees,1918,Company - Public,Car & Truck Rental,Transportation & Logistics,$5 to $10 billion (USD)
71,Data Scientist II,$69K - $115K (Employer est.),"Be able to communicate technical concepts to non-technical stakeholders. Within our Financial Services vertical, we provide customers with solutions and……
Skills: Computer science, R, Data analysis skills, Statistical analysis, Machine learning",2.1,Risk Solutions,"Minneapolis, MN",1 to 50 Employees,2001,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
72,DATA SCIENTIST,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,ADVANCED MANAGEMENT STRATEGIES GROUP(AMSG),"Fort Eustis, VA",Unknown,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
73,AI Software Engineer,$98K - $130K (Glassdoor est.),"A bachelor’s degree in computer science, Engineering, or a related field. Design, develop, and implement software solutions on system design specifications.…
Skills: Computer science, Power BI, Azure, Writing skills, Data structures",3.6,Entergy Corporation,"The Woodlands, TX",10000+ Employees,1992,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
74,Senior Data Scientist,$138K - $190K (Employer est.),"And, we empower you to be a Trailblazer, too — driving your performance and career growth, charting new paths, and improving the state of the world.…
Skills: R, SQL, Machine learning, Quantitative analysis, Communication skills",4.1,Salesforce,"Atlanta, GA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
75,Data Scientist,$52.20 - $60.83 Per Hour (Employer est.),"Requires three years of experience in systems, operations, procedures, research or analysis and a Bachelor's degree in business or public administration,……
Skills: Microsoft Excel, Oracle, R, Data analysis skills, Microsoft SQL Server",3.8,City of Seattle,"Seattle, WA",10000+ Employees,1869,Government,National Agencies,Government & Public Administration,$500 million to $1 billion (USD)
76,Data Scientist (NASA),-1,"BS in physical science, engineering, or mathematics. This work includes the development of new visualization tools for the data set, testing of new algorithm……
Skills: MATLAB, Product development, GitHub, Python",4,KBR,"Greenbelt, MD",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
77,Data Scientist,$90K - $100K (Employer est.),"They will ensure the appropriate use of analytical tools, so that analysis and reporting is accurate, timely, thorough, and professional.…
Skills: Microsoft Excel, Supply chain, Alteryx, SQL, SQL Server Management Studio",3.6,Southern Glazer’s Wine and Spirits,"Miramar, FL",10000+ Employees,1968,Company - Private,Wholesale,Retail & Wholesale,$10+ billion (USD)
78,Data Scientist,$111K - $160K (Glassdoor est.),"Develop your own data analysis tools & techniques and process requests from other groups at Aireon such as systems engineering or test.…
Skills: Jira, TensorFlow, Computer science, MATLAB, Azure",4.1,Aireon,"McLean, VA",51 to 200 Employees,2011,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
79,Data Scientist,$79K - $138K (Glassdoor est.),"Proactively collaborate with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns……
Skills: D3.js, SAS, Spark, R, Apache Hive",3.5,Elevance Health,"Seven Fields, PA",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
